id,date,user,department,software,seats,amount
127,2023-05-02 18:45:17 +0530,Rostenkowski,Tech,Fullstory,4,44
128,2022-08-12 20:51:20 +0530,Rostenkowski,Tech,Teams,4,20
129,2022-07-29 01:06:08 +0530,Priya Koothrappali,Sales,Github,1,4
130,2022-08-07 15:29:40 +0530,Priya Koothrappali,Sales,Outplay,3,36
131,2022-11-15 13:00:48 +0530,Barry Kripke,Customer Success,Appolo,1,17
132,2022-09-05 10:04:49 +0530,Leonard Hofstadter,Tech,Notion,4,28
133,2023-04-11 03:23:34 +0530,Emily Sweeney,HR,Circleci,3,27
134,2022-10-11 09:41:28 +0530,Dr. V.M. Koothrappali,Marketting,Slack,4,40
135,2023-01-16 03:17:39 +0530,Barry Kripke,Customer Success,Zoho Crm,4,72
136,2023-01-25 01:50:25 +0530,Dr. V.M. Koothrappali,Marketting,Figma,3,42
137,2022-06-10 07:43:43 +0530,Denise,HR,Zapier,5,20
138,2023-05-07 16:37:11 +0530,Dr. Beverly Hofstadter,Sales,Outplay,2,24
139,2022-09-01 09:56:00 +0530,Dr. Beverly Hofstadter,Sales,Apple,1,20
140,2022-10-01 09:21:07 +0530,Wil Wheaton,Marketting,Zapier,1,4
141,2023-01-03 23:43:26 +0530,Barry Kripke,Customer Success,Apple,3,60
142,2023-03-21 05:45:33 +0530,Leslie Winkle,Tech,Github,4,16
143,2022-08-02 15:07:12 +0530,Rostenkowski,Tech,Discord,5,5
144,2022-11-14 10:27:04 +0530,Sheldon Cooper,Tech,Fullstory,2,22
145,2022-12-05 21:13:01 +0530,Rostenkowski,Tech,Figma,3,42
146,2022-12-10 04:35:21 +0530,Sheldon Cooper,Tech,Zoho Crm,2,36
147,2022-08-19 22:46:04 +0530,Leonard Hofstadter,Tech,Sentry,1,5
148,2023-04-19 09:27:52 +0530,Dr. V.M. Koothrappali,Marketting,Slack,4,40
149,2022-07-27 11:36:26 +0530,Denise,HR,Figma,3,42
150,2023-01-21 09:05:50 +0530,Priya Koothrappali,Sales,Zapier,5,20
151,2022-10-06 17:46:02 +0530,Dr. V.M. Koothrappali,Marketting,Slack,2,20
152,2023-03-15 17:53:37 +0530,Barry Kripke,Customer Success,Figma,2,28
153,2023-01-30 10:52:57 +0530,Emily Sweeney,HR,Height,1,3
154,2022-09-08 10:03:38 +0530,Priya Koothrappali,Sales,Apple,1,20
155,2023-01-25 06:35:45 +0530,Rostenkowski,Tech,Notion,2,14
156,2022-10-12 22:14:48 +0530,Emily Sweeney,HR,Google,5,10
157,2022-08-01 14:14:53 +0530,Rostenkowski,Tech,Notion,3,21
158,2023-05-06 13:53:55 +0530,Priya Koothrappali,Sales,Sentry,1,5
159,2023-04-28 02:27:46 +0530,Priya Koothrappali,Sales,Teams,2,10
160,2022-11-20 09:01:53 +0530,Bert Kibbler,Customer Success,Discord,5,5
161,2022-11-26 15:47:19 +0530,Priya Koothrappali,Sales,Discord,4,4
162,2023-01-20 15:34:16 +0530,Priya Koothrappali,Sales,Circleci,1,9
163,2023-03-28 18:53:14 +0530,Denise,HR,Height,1,3
164,2022-07-16 17:00:34 +0530,Dr. Beverly Hofstadter,Sales,Height,3,9
165,2022-10-10 18:24:06 +0530,Emily Sweeney,HR,Outplay,1,12
166,2022-11-10 12:06:12 +0530,Bert Kibbler,Customer Success,Teams,1,5
167,2022-05-11 10:47:18 +0530,Amy Farrah Fowler,Tech,Fullstory,4,44
168,2023-02-22 14:36:20 +0530,Emily Sweeney,HR,Discord,5,5
169,2022-07-28 00:36:46 +0530,Leonard Hofstadter,Tech,Discord,1,1
170,2022-10-30 10:19:54 +0530,Sheldon Cooper,Tech,Github,5,20
171,2022-05-14 13:54:55 +0530,Wil Wheaton,Marketting,Notion,5,35
172,2022-09-21 00:18:40 +0530,Bert Kibbler,Customer Success,Slack,1,10
173,2023-03-09 19:14:29 +0530,Priya Koothrappali,Sales,Zoho Crm,5,90
174,2023-01-10 07:50:54 +0530,Emily Sweeney,HR,Circleci,4,36
175,2022-12-09 04:59:00 +0530,Wil Wheaton,Marketting,Google,1,2
176,2022-06-15 10:04:11 +0530,Amy Farrah Fowler,Tech,Github,5,20
177,2023-01-17 09:10:02 +0530,Leslie Winkle,Tech,Discord,5,5
178,2022-12-31 10:13:37 +0530,Leslie Winkle,Tech,Appolo,1,17
179,2022-05-24 20:27:36 +0530,Amy Farrah Fowler,Tech,Figma,4,56
180,2022-11-13 12:43:56 +0530,Emily Sweeney,HR,Sentry,5,25
181,2022-07-05 07:08:48 +0530,Amy Farrah Fowler,Tech,Appolo,2,34
182,2022-06-15 02:54:28 +0530,Denise,HR,Notion,4,28
183,2022-08-03 00:29:57 +0530,Leslie Winkle,Tech,Fullstory,2,22
184,2022-09-15 20:34:45 +0530,Dr. Beverly Hofstadter,Sales,Height,1,3
185,2023-02-10 20:42:52 +0530,Leslie Winkle,Tech,Appolo,2,34
186,2022-09-26 11:47:46 +0530,Leslie Winkle,Tech,Notion,1,7
187,2023-01-21 05:25:20 +0530,Priya Koothrappali,Sales,Outplay,1,12
188,2022-08-16 14:58:22 +0530,Priya Koothrappali,Sales,Discord,4,4
189,2022-10-03 23:33:44 +0530,Leslie Winkle,Tech,Zoho Crm,1,18
190,2023-04-22 00:18:08 +0530,Amy Farrah Fowler,Tech,Teams,5,25
191,2022-08-21 22:06:48 +0530,Amy Farrah Fowler,Tech,Notion,1,7
192,2023-02-19 11:17:28 +0530,Leonard Hofstadter,Tech,Google,5,10
193,2022-07-04 20:33:25 +0530,Emily Sweeney,HR,Teams,1,5
194,2023-01-24 01:03:52 +0530,Emily Sweeney,HR,Fullstory,1,11
195,2022-07-31 14:15:11 +0530,Dr. V.M. Koothrappali,Marketting,Teams,3,15
196,2023-04-22 09:32:07 +0530,Barry Kripke,Customer Success,Notion,3,21
197,2022-07-25 10:45:52 +0530,Leonard Hofstadter,Tech,Notion,3,21
198,2022-06-07 09:36:35 +0530,Denise,HR,Sentry,2,10
199,2022-07-18 10:44:47 +0530,Rostenkowski,Tech,Appolo,1,17
200,2022-12-23 16:13:22 +0530,Dr. Beverly Hofstadter,Sales,Fullstory,3,33
201,2022-08-12 23:27:07 +0530,Barry Kripke,Customer Success,Notion,2,14
202,2023-02-18 16:43:16 +0530,Leonard Hofstadter,Tech,Height,5,15
203,2022-11-04 18:40:38 +0530,Priya Koothrappali,Sales,Height,5,15
204,2023-04-02 07:56:56 +0530,Dr. V.M. Koothrappali,Marketting,Apple,1,20
205,2022-09-26 00:49:00 +0530,Leslie Winkle,Tech,Circleci,3,27
206,2022-12-31 09:54:09 +0530,Leslie Winkle,Tech,Apple,5,100
207,2023-03-15 18:19:20 +0530,Wil Wheaton,Marketting,Slack,5,50
208,2022-11-13 01:57:13 +0530,Dr. V.M. Koothrappali,Marketting,Teams,1,5
209,2022-12-08 18:09:54 +0530,Priya Koothrappali,Sales,Circleci,2,18
210,2022-10-24 18:15:55 +0530,Barry Kripke,Customer Success,Google,5,10
211,2022-05-31 06:16:33 +0530,Emily Sweeney,HR,Zapier,4,16
212,2022-09-06 08:17:42 +0530,Amy Farrah Fowler,Tech,Teams,2,10
213,2023-05-09 19:27:33 +0530,Sheldon Cooper,Tech,Zapier,2,8
214,2022-10-18 08:25:06 +0530,Barry Kripke,Customer Success,Outplay,1,12
215,2022-08-10 17:31:37 +0530,Denise,HR,Apple,1,20
216,2022-05-22 07:16:11 +0530,Sheldon Cooper,Tech,Circleci,4,36
217,2022-05-14 12:39:01 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22
218,2022-11-06 14:44:47 +0530,Leslie Winkle,Tech,Discord,3,3
219,2022-06-06 05:00:32 +0530,Wil Wheaton,Marketting,Google,2,4
220,2022-09-25 03:21:51 +0530,Emily Sweeney,HR,Slack,5,50
221,2022-12-31 12:05:36 +0530,Bert Kibbler,Customer Success,Zapier,2,8
222,2023-02-10 23:16:21 +0530,Sheldon Cooper,Tech,Appolo,4,68
223,2022-05-13 18:44:06 +0530,Denise,HR,Sentry,3,15
224,2022-07-13 19:54:30 +0530,Denise,HR,Outplay,1,12
225,2022-12-13 17:10:25 +0530,Leonard Hofstadter,Tech,Appolo,5,85
226,2022-12-18 10:32:01 +0530,Wil Wheaton,Marketting,Circleci,3,27
227,2023-04-23 02:12:13 +0530,Priya Koothrappali,Sales,Zoho Crm,2,36
228,2022-05-14 04:39:32 +0530,Leslie Winkle,Tech,Height,2,6
229,2022-09-04 11:58:42 +0530,Priya Koothrappali,Sales,Teams,3,15
230,2022-12-21 12:22:54 +0530,Wil Wheaton,Marketting,Outplay,2,24
231,2022-12-05 11:28:51 +0530,Rostenkowski,Tech,Teams,2,10
232,2022-08-18 10:33:28 +0530,Emily Sweeney,HR,Height,1,3
233,2022-12-11 01:25:18 +0530,Amy Farrah Fowler,Tech,Circleci,2,18
234,2022-08-25 21:41:22 +0530,Dr. Beverly Hofstadter,Sales,Fullstory,1,11
235,2023-01-27 21:51:27 +0530,Emily Sweeney,HR,Fullstory,3,33
236,2023-01-30 22:31:16 +0530,Leonard Hofstadter,Tech,Github,3,12
237,2023-02-20 02:26:15 +0530,Wil Wheaton,Marketting,Zoho Crm,5,90
238,2022-10-10 18:46:46 +0530,Dr. V.M. Koothrappali,Marketting,Zapier,4,16
239,2022-10-26 09:53:58 +0530,Emily Sweeney,HR,Sentry,4,20
240,2022-11-18 23:09:49 +0530,Dr. Beverly Hofstadter,Sales,Apple,5,100
241,2023-01-30 11:24:06 +0530,Dr. Beverly Hofstadter,Sales,Apple,2,40
242,2022-08-21 01:09:39 +0530,Amy Farrah Fowler,Tech,Apple,2,40
243,2023-04-08 09:02:47 +0530,Rostenkowski,Tech,Outplay,1,12
244,2023-03-27 10:50:22 +0530,Sheldon Cooper,Tech,Discord,4,4
245,2023-03-22 21:15:24 +0530,Rostenkowski,Tech,Fullstory,5,55
246,2023-04-04 03:48:58 +0530,Dr. Beverly Hofstadter,Sales,Notion,1,7
247,2022-08-13 21:13:57 +0530,Rostenkowski,Tech,Zoho Crm,3,54
248,2022-09-17 05:39:02 +0530,Emily Sweeney,HR,Figma,3,42
249,2022-10-17 05:48:54 +0530,Leonard Hofstadter,Tech,Discord,3,3
250,2022-06-12 07:48:23 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22
251,2022-06-08 07:47:35 +0530,Dr. Beverly Hofstadter,Sales,Slack,3,30
252,2023-01-11 15:29:36 +0530,Leonard Hofstadter,Tech,Outplay,1,12
253,2022-09-04 14:23:52 +0530,Dr. V.M. Koothrappali,Marketting,Google,2,4
254,2022-06-07 06:09:57 +0530,Dr. Beverly Hofstadter,Sales,Figma,4,56
255,2022-08-24 11:41:37 +0530,Leslie Winkle,Tech,Outplay,5,60
256,2022-05-23 08:07:50 +0530,Leonard Hofstadter,Tech,Appolo,5,85
257,2022-12-08 12:03:40 +0530,Barry Kripke,Customer Success,Teams,2,10
258,2022-07-25 16:19:20 +0530,Amy Farrah Fowler,Tech,Zoho Crm,4,72
259,2022-05-24 05:37:47 +0530,Barry Kripke,Customer Success,Zapier,3,12
260,2023-01-24 10:40:34 +0530,Barry Kripke,Customer Success,Figma,5,70
261,2023-04-10 07:20:14 +0530,Dr. Beverly Hofstadter,Sales,Zoho Crm,2,36
262,2023-05-07 21:42:39 +0530,Dr. Beverly Hofstadter,Sales,Height,1,3
263,2022-11-30 15:02:51 +0530,Priya Koothrappali,Sales,Apple,1,20
264,2023-01-31 22:32:14 +0530,Barry Kripke,Customer Success,Apple,1,20
265,2022-12-10 03:00:46 +0530,Wil Wheaton,Marketting,Figma,3,42
266,2022-10-04 14:57:04 +0530,Priya Koothrappali,Sales,Height,4,12
267,2023-03-05 01:14:25 +0530,Bert Kibbler,Customer Success,Github,3,12
268,2022-05-26 09:05:43 +0530,Dr. Beverly Hofstadter,Sales,Google,3,6
269,2023-01-26 14:33:09 +0530,Sheldon Cooper,Tech,Circleci,2,18
270,2022-11-13 08:59:01 +0530,Bert Kibbler,Customer Success,Fullstory,4,44
271,2022-05-22 11:24:26 +0530,Wil Wheaton,Marketting,Google,5,10
272,2022-10-25 05:59:28 +0530,Leslie Winkle,Tech,Appolo,5,85
273,2022-12-20 17:43:24 +0530,Priya Koothrappali,Sales,Slack,5,50
274,2022-10-20 00:49:53 +0530,Denise,HR,Slack,1,10
275,2023-04-22 22:14:04 +0530,Wil Wheaton,Marketting,Appolo,4,68
276,2023-04-07 07:41:30 +0530,Leonard Hofstadter,Tech,Figma,5,70
277,2023-02-16 09:49:55 +0530,Bert Kibbler,Customer Success,Teams,1,5
278,2023-04-14 17:26:00 +0530,Emily Sweeney,HR,Circleci,5,45
279,2023-05-10 05:09:33 +0530,Leslie Winkle,Tech,Discord,3,3
280,2023-03-24 20:57:05 +0530,Dr. V.M. Koothrappali,Marketting,Teams,2,10
281,2023-01-13 13:00:40 +0530,Dr. Beverly Hofstadter,Sales,Discord,2,2
282,2022-12-12 13:01:05 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,1,11
283,2023-03-14 13:07:04 +0530,Priya Koothrappali,Sales,Appolo,3,51
284,2022-11-06 05:27:22 +0530,Rostenkowski,Tech,Sentry,3,15
285,2022-08-02 21:17:51 +0530,Sheldon Cooper,Tech,Slack,2,20
286,2022-07-16 11:11:21 +0530,Bert Kibbler,Customer Success,Height,4,12
287,2022-08-22 03:04:02 +0530,Priya Koothrappali,Sales,Height,5,15
288,2022-11-01 22:28:57 +0530,Sheldon Cooper,Tech,Circleci,2,18
289,2022-07-31 20:59:37 +0530,Sheldon Cooper,Tech,Slack,5,50
290,2023-01-06 12:39:32 +0530,Priya Koothrappali,Sales,Outplay,4,48
291,2022-10-04 20:21:29 +0530,Emily Sweeney,HR,Notion,4,28
292,2022-08-05 06:08:24 +0530,Dr. V.M. Koothrappali,Marketting,Appolo,3,51
293,2022-08-09 19:54:27 +0530,Emily Sweeney,HR,Slack,5,50
294,2022-09-08 19:10:49 +0530,Sheldon Cooper,Tech,Appolo,1,17
295,2022-12-24 19:12:07 +0530,Amy Farrah Fowler,Tech,Zapier,4,16
296,2022-11-06 02:15:07 +0530,Dr. Beverly Hofstadter,Sales,Height,1,3
297,2023-02-09 17:47:27 +0530,Priya Koothrappali,Sales,Sentry,5,25
298,2022-06-08 07:42:16 +0530,Rostenkowski,Tech,Figma,4,56
299,2022-06-18 10:56:41 +0530,Sheldon Cooper,Tech,Sentry,2,10
300,2022-07-18 05:47:35 +0530,Rostenkowski,Tech,Height,5,15
301,2023-01-22 07:02:34 +0530,Leslie Winkle,Tech,Google,5,10
302,2023-03-25 06:35:26 +0530,Rostenkowski,Tech,Fullstory,4,44
303,2022-07-29 05:19:54 +0530,Leonard Hofstadter,Tech,Notion,4,28
304,2023-04-14 17:43:44 +0530,Barry Kripke,Customer Success,Teams,5,25
305,2022-08-28 18:19:44 +0530,Wil Wheaton,Marketting,Teams,2,10
306,2023-04-01 03:33:39 +0530,Dr. Beverly Hofstadter,Sales,Appolo,3,51
307,2022-07-19 13:42:08 +0530,Dr. V.M. Koothrappali,Marketting,Apple,3,60
308,2022-11-05 17:47:45 +0530,Priya Koothrappali,Sales,Google,5,10
309,2023-04-17 15:59:02 +0530,Dr. Beverly Hofstadter,Sales,Github,3,12
310,2022-11-26 23:10:17 +0530,Emily Sweeney,HR,Appolo,5,85
311,2023-04-11 19:32:06 +0530,Leslie Winkle,Tech,Discord,5,5
312,2023-05-08 05:12:16 +0530,Leonard Hofstadter,Tech,Figma,1,14
313,2023-03-07 18:21:18 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22
314,2023-02-20 15:36:43 +0530,Sheldon Cooper,Tech,Zapier,3,12
315,2022-09-29 05:55:38 +0530,Barry Kripke,Customer Success,Teams,4,20
316,2022-09-30 16:52:00 +0530,Barry Kripke,Customer Success,Appolo,3,51
317,2022-06-22 13:49:50 +0530,Barry Kripke,Customer Success,Github,4,16
318,2023-02-05 22:17:32 +0530,Dr. Beverly Hofstadter,Sales,Sentry,5,25
319,2022-07-28 05:02:10 +0530,Amy Farrah Fowler,Tech,Apple,4,80
320,2022-07-25 18:52:09 +0530,Sheldon Cooper,Tech,Circleci,1,9
321,2022-10-17 16:06:58 +0530,Emily Sweeney,HR,Zapier,2,8
322,2022-10-16 18:39:24 +0530,Emily Sweeney,HR,Zoho Crm,5,90
323,2023-04-16 10:11:02 +0530,Amy Farrah Fowler,Tech,Appolo,3,51
324,2022-06-07 21:56:23 +0530,Sheldon Cooper,Tech,Height,4,12
325,2022-10-09 11:02:20 +0530,Dr. Beverly Hofstadter,Sales,Apple,5,100
326,2022-12-04 05:02:13 +0530,Rostenkowski,Tech,Sentry,3,15
327,2022-10-26 04:14:16 +0530,Barry Kripke,Customer Success,Sentry,2,10
328,2023-04-01 07:01:41 +0530,Bert Kibbler,Customer Success,Notion,5,35
329,2023-04-22 13:59:06 +0530,Emily Sweeney,HR,Slack,2,20
330,2023-01-15 23:01:48 +0530,Leslie Winkle,Tech,Apple,3,60
331,2023-01-24 05:07:17 +0530,Denise,HR,Zoho Crm,5,90
332,2022-07-18 06:02:21 +0530,Amy Farrah Fowler,Tech,Discord,4,4
333,2022-10-16 13:07:58 +0530,Dr. V.M. Koothrappali,Marketting,Slack,5,50
